product_name,rating,review
OtterBox 77-29864 Defender Series Hybrid Case for Samsung Galaxy Note 10.1 - Retail Packaging - White (2012 Version),4,although it makes it substantially heavier and bulkier it adds great protection for the device and in my opinion looks great doing it
HTC myTouch 4G Slide Global QWERTY Unlocked GSM Android Smartphone,1,the description is misleading global phones are unlocked it says unlocked and yet none of the 5 i bought were unlocked
BlackBerry Leap STR100-2 Unlocked Phone - Retail Packaging - White,2,the phone looks stylish with sharp corners rectangle design but that is it the apps collection is very poor and the amazon apps didn t help either without the apps whats the entire point of using the smart phone most of the apps in the blackberry collection are very disappointing other factors like battery and build quality all are good though display is okay but not so great compared to smartphones which has less cost than this back camera is decent but front camera is disappointing
Motorola V860 Barrage Verizon Wireless MIL-SPEC Rugged 2MP Cell Phone (No Contract),2,after 3 weeks of use three of the button covers have fallen out and lost now i have to use a pen to push the buttons in order to control these 3 functions how long is the warranty on these phones i would like to have this one replaced
Apple iPhone 5 16GB (Black) - T-Mobile,5,great product in excellent condition
Samsung Galaxy S Duos GT-S7562 GSM Unlocked Touchscreen 5MP Camera Smartphone White,2,my daughter was so excited when i gave this phone as a present she had it for just over a week but now will not connect to network she has to restart to make phone work sometimes had to restart 2 times we are returning it my son s phone is exactly same model and works perfectly we got his at best buy 3 months ago
"Sony Xperia Z3+ E6553 32GB Unlocked GSM Android Smartphone w/ 23 Megapixel Camera - White (International version, No Warranty)",1,this phone it s very nice looking and it s fast but it overheats a lot i installed all the updates 14 05 2016 and it still overheating whats the point of having 4k recording or 1080p 60fps if you can t use it i can t make this phone record more than 1 minute in any resolution besides that i m very dissapointed with sony the box doesn t bring headphones and nothing more than the user manual and charger and that being said i m feeling very lucky because they still give you a charger i just want you to know that if i knew this before i would choose any other phone
"LG Stylus 2 Plus K530F 16GB Black, 5.7-Inch, Unlocked International Model, No Warranty.",5,this is the best phone i had you rock lg keep it up
Samsung Galaxy S6 Edge Plus G928C 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - Gold Platinum,4,i like the phone it s trying to get a good protective front shield that is causing frustration i m not sure which front shield to buy because there seems to be misrepresentation on some of the products advertised on amazon according to customer reviews
Samsung Galaxy S Blaze 4G SGH-T769 GSM Black - Unlocked International Version - Use With Any SIM,5,it s certainly not the best phone and it s certainly not the worst i m basically just using this phone as a tester for t mobile s plan while t mobile s service is pretty spotty outside of town that doesn t really bother me and isn t what this review should really be about the phone picks up service very well i compared service with this phone vs a samsung galaxy note 2 and this one beat out the service range and overall connection it even performed better on the edge network while awfully slow i was able to load webpages while the samsung galaxy note 2 wasn t
Motorola Droid 2 Global Winter White (Verizon) A956 Smartphone,1,i payed for a new a956 i received a refurbished a955 when i recieved the phone i knew immediately it was a refurb because the battery cover was a different shade of white than the rest of the phone and the screen had some dust under neath it after using it for a few days i found that it would not play video content but honestly all i needed from it was gps navigation and it did and still does that just fine so i was disappointed but it did what i needed it for and i figured i d just keep the phone however the last week or so it has developed a wonderful new problem the touch screen does whatever it wants i want to browse the web too bad my phone wants to text ujnunujnunununjnunununjnun to my grandparents i m going to look into a refund but i m pretty sure its too late anyone who is considering this phone take note that the physical keyboard has no buttons instead it has a smooth surface with little bumps for the letters i personally do not like it and even after several months of using it am slow and inaccurate when texting not a problem i ever had with my htc dream g1
